UUID,PRODUCT_TYPE,PRODUCT_LAYOUT,PAGE_LOAD_TIME,PRODUCT_RATING,PURCHASE_DECISION,REVIEW_TEXT,REVIEW_QUALITY,REVIEW_SENTIMENT
8d6b15fa-8753-4ebb-8999-76f548497b7a,Electronics,Grid,2.56,5,1,Amazing value for money. Very satisfied.,Fair,1.0
7b46f668-6bd9-4abe-a29e-19e46e83a1d9,Clothing,Card,4.46,2,0,Horrible experience. Don't buy this.,Poor,-0.78
6b8e040c-fc9c-4337-8112-bc67892ba37a,Sports,Grid,3.51,5,1,Love it! Exactly what I was looking for.,Excellent,0.65
e328a5e6-8375-42ac-9701-23b936d5fbbf,Electronics,List,1.73,5,1,Perfect! Exceeded my expectations.,Good,0.61
18860282-1df6-4605-80d6-fe57e582c2de,Home & Garden,Grid,0.92,4,1,Outstanding product. Will buy again.,Poor,0.91
51cc9abf-77b3-4b17-bf18-d51e05c47ec4,Toys,Card,1.23,4,1,Great product! Highly recommend it.,Good,0.78
6b868b9b-61e2-4ba5-85bb-ca482df115b1,Toys,List,2.96,3,1,Decent quality for the price.,Fair,0.05
6ca2ad6d-5257-4ba7-968b-7f75a1736bfc,Home & Garden,Grid,4.55,2,0,Waste of money. Returning it.,Fair,-0.59
a7be12b1-0d68-4d3c-a1dd-39a6fde5aab4,Books,List,4.67,2,0,Terrible product. Would not recommend.,Excellent,-0.48
51ef7c70-99c0-4906-ba2d-0e33a41814f2,Electronics,List,3.81,3,1,It works fine. No complaints.,Good,0.17
a14a11fd-e307-40d8-9056-5be34e219d69,Toys,Grid,2.22,1,1,Did not meet expectations at all.,Poor,-0.48
5bc8db74-ee31-499f-bf6d-a339dd689e18,Clothing,List,0.61,2,0,Poor quality. Not worth the money.,Poor,-0.76
9e530072-5cda-49b1-a3ae-07bc91f41c55,Home & Garden,Card,3.39,4,0,Outstanding product. Will buy again.,Excellent,0.84
c248e288-d992-47cb-a617-95f7429ed8ac,Electronics,Card,1.3,3,0,Fair quality. Could be better.,Good,-0.28
8dcb60e3-c215-4562-8ab3-647329b981b8,Home & Garden,Detailed,3.23,5,1,Amazing value for money. Very satisfied.,Excellent,0.56
1ef44112-5f26-484e-8c1c-93857a8a4059,Toys,Detailed,0.51,5,1,Amazing value for money. Very satisfied.,Excellent,0.84
5b8fddd8-78ea-43ec-8aca-981d29ae8856,Electronics,Card,3.3,1,0,Not as described. Very disappointed.,Fair,-0.57
7c6649f4-ac96-4a42-b042-3daca057926c,Home & Garden,Detailed,3.64,5,1,Fantastic! Works perfectly as described.,Good,0.56
b23f33dc-d352-445a-ac3b-49f642b7d532,Clothing,Card,2.33,1,0,Defective product. Very frustrating.,Poor,-0.82
92193823-e3cc-458c-a444-e1bd3376b11f,Home & Garden,Detailed,2.49,2,0,Terrible product. Would not recommend.,Good,-0.69
0d7f2627-ee8a-4435-b919-62e7ebc5b8ac,Home & Garden,Card,0.92,2,1,Broke after a few uses. Very upset.,Poor,-0.6
53143839-3e5f-4e43-b732-605bda2b5796,Electronics,List,4.93,5,0,Fantastic! Works perfectly as described.,Fair,0.92
b9e67a94-4468-4abd-b078-a3c8bd261e71,Sports,List,3.73,4,0,Great product! Highly recommend it.,Good,0.75
b248ee90-9cab-4ef0-ae1b-5a08ecf22f8e,Electronics,Detailed,1.48,5,1,Excellent quality and fast shipping.,Good,0.73
691cb675-511a-414c-b258-b156105d7c72,Books,Card,4.78,4,1,Superb quality and great design.,Excellent,0.81
724d926f-8a3a-473a-9976-8cb36180a22c,Sports,Detailed,4.54,4,1,Perfect! Exceeded my expectations.,Excellent,0.73
96f32403-c449-4f22-b8a4-81a7ff205d8b,Sports,Detailed,3.32,3,1,It works fine. No complaints.,Good,-0.04
3cc038af-f122-4f74-9dcf-08b7adef0037,Home & Garden,Grid,1.12,2,1,Broke after a few uses. Very upset.,Poor,-0.77
5d9d8724-00ab-4e92-bbf1-e784b1b61469,Books,Card,2.94,4,0,Fantastic! Works perfectly as described.,Excellent,0.53
8a8fa1d3-fd24-4359-9627-0023c06b999f,Sports,Grid,4.36,5,1,Outstanding product. Will buy again.,Poor,0.69
c61a5b4f-772a-44d9-8426-b9b6b2e222b9,Books,Detailed,2.92,5,1,Very happy with this purchase.,Excellent,0.9
1957e7df-9789-4cfd-be69-7a2355023237,Books,Detailed,0.63,3,0,Decent quality for the price.,Good,0.1
dd62db0c-b98e-4a14-9c5f-1b7f772ed199,Clothing,Grid,4.58,5,1,Fantastic! Works perfectly as described.,Poor,0.78
d203b007-0278-4798-bf2b-98700662036f,Books,List,0.73,4,1,Outstanding product. Will buy again.,Good,0.66
8e8e164a-60ea-417f-99f2-0e074ce8e246,Books,Card,3.88,4,1,Great product! Highly recommend it.,Fair,0.63
e9b1c81d-0ed4-4fe3-a99f-7fbfdf2cef1c,Electronics,Card,1.51,1,0,Disappointed with this purchase.,Fair,-0.53
8630fcc2-bba9-4cf7-b9ad-14e2f080ba4a,Clothing,Grid,3.3,2,0,Defective product. Very frustrating.,Fair,-0.92
bc81886f-3a84-4ce1-ae25-dee537e70119,Books,Card,3.95,2,0,Poor quality. Not worth the money.,Excellent,-0.64
25caa5e4-8787-4b20-9f86-ea983a9b5879,Clothing,Card,0.99,1,1,Low quality materials. Avoid this.,Fair,-0.44
d331c02f-ac0e-4e16-a686-bb3e02f98674,Toys,List,0.84,2,0,Defective product. Very frustrating.,Good,-0.94
c4fb0b22-3956-4d3a-b61a-2d592d882ba0,Sports,Grid,2.06,4,1,Outstanding product. Will buy again.,Fair,0.83
bdcc3daf-91ff-41f2-9448-8f30a0cdb355,Books,Detailed,0.97,3,1,Decent quality for the price.,Excellent,0.08
62aa5152-b02b-4200-a2a6-d1c25870fe94,Toys,Card,3.27,5,1,Absolutely love it! Five stars!,Good,0.89
7e416c01-6eda-43d1-a587-89bde09b9168,Clothing,Grid,1.76,4,1,Absolutely love it! Five stars!,Good,0.62
43e42bf8-f819-414c-b8d3-d821111ba18b,Home & Garden,Grid,2.72,3,1,Acceptable product. Met basic expectations.,Fair,-0.19
a03d2355-04c8-4304-a1a3-a62242c7dd31,Sports,Card,3.0,5,1,Fantastic! Works perfectly as described.,Fair,0.97
6c664a70-ba27-4971-9c18-8dc94c31482b,Clothing,Detailed,3.41,4,1,Perfect! Exceeded my expectations.,Poor,0.72
0fc91ae6-dbc0-46c0-b5ce-3c3626cdeaec,Toys,List,1.88,5,1,Outstanding product. Will buy again.,Good,0.68
e5b88c41-ed34-4013-a3f7-a6694a7cbd94,Toys,Card,2.08,4,1,Excellent quality and fast shipping.,Good,0.64
dcedbad5-5eb9-4c4b-8b96-5945a41de5d9,Home & Garden,Grid,3.84,2,0,Not as described. Very disappointed.,Good,-0.89
1f65453a-3530-4271-a563-42a9cf6b232d,Sports,Card,4.91,2,1,Not as described. Very disappointed.,Fair,-0.82
029c2eda-88ce-44f8-b44a-43b689587bed,Sports,List,1.73,1,0,Terrible product. Would not recommend.,Fair,-0.67
8aed4a51-792f-49f1-995b-66f8e2fcb714,Books,Grid,4.43,5,1,Outstanding product. Will buy again.,Good,0.64
09b7d13e-f0f4-4e60-a96a-39b313b950b3,Electronics,Card,4.73,4,1,Very happy with this purchase.,Fair,0.56
93baa549-fd7f-4f99-b2fa-10e7dccfca57,Toys,Grid,1.18,5,1,Amazing value for money. Very satisfied.,Fair,0.97
03392865-404f-402f-a2e1-3e6d24062fcc,Books,List,3.99,4,0,Absolutely love it! Five stars!,Good,0.73
865afc3d-6082-4e2b-893a-2c579acae84d,Home & Garden,Grid,3.24,1,1,Broke after a few uses. Very upset.,Poor,-0.43
0754efbc-ce20-40bf-b7df-894fb158a0a0,Electronics,List,1.58,5,1,Very happy with this purchase.,Poor,0.54
e0036f8b-1c7f-4e76-b644-fe668a27e284,Books,Card,0.65,3,1,It's alright. Does the job.,Good,0.12
8acfd68d-e860-413c-b217-7c5faa512168,Clothing,Card,4.05,5,1,Fantastic! Works perfectly as described.,Excellent,0.83
2e8e7346-ad55-409f-9119-5ca1bd098dce,Clothing,List,4.59,2,0,Not as described. Very disappointed.,Poor,-0.96
8bced32d-7baa-4be2-a11c-80e74d413994,Sports,Card,2.48,4,1,Perfect! Exceeded my expectations.,Excellent,0.84
ddc3d0a2-8e21-4bab-8d73-acbb43ecaf03,Books,Detailed,0.86,1,1,Defective product. Very frustrating.,Good,-0.47
60f0ea2e-d705-4c27-be5d-fb9f87a58793,Electronics,List,4.83,5,1,Perfect! Exceeded my expectations.,Poor,0.79
43bb35d8-d39c-4b35-abf7-e00e5fac0258,Clothing,Detailed,2.84,4,1,Absolutely love it! Five stars!,Fair,0.96
3c57ac1f-cd96-4a41-a35d-0bce52d73ec0,Books,Grid,2.62,4,1,Love it! Exactly what I was looking for.,Excellent,0.67
96f1c440-c782-40fe-abce-b8ff55098023,Toys,Detailed,1.8,4,1,Very happy with this purchase.,Good,0.91
07c226dd-168c-4072-87c8-4bf9715153c7,Home & Garden,Card,1.02,4,1,Great product! Highly recommend it.,Excellent,0.93
c54b1402-bc35-4644-bdaf-2ce9e3799753,Sports,Detailed,2.36,2,0,Did not meet expectations at all.,Fair,-0.69
63f6772c-6071-465f-ae43-685b05dad20b,Electronics,List,1.7,2,1,Did not meet expectations at all.,Fair,-0.44
f034dd21-b4a9-4dda-bc72-dd339b99210e,Toys,List,3.69,3,1,Average product. Nothing special.,Good,0.03
d1c05ac6-c26d-4236-adcc-45712c390ea6,Electronics,Detailed,4.76,2,0,Horrible experience. Don't buy this.,Good,-0.7
743ad349-9379-4a32-bf1a-77690fdf4624,Books,Detailed,4.91,2,0,Broke after a few uses. Very upset.,Poor,-0.73
be95cbd6-7f6a-400f-b264-c9fe2cb1604d,Sports,List,4.39,3,0,Fair quality. Could be better.,Excellent,0.16
49b2de76-e107-48fb-9713-dea2fb717cc2,Sports,Card,4.19,3,0,Satisfactory. Nothing to write home about.,Excellent,0.14
e1cd97a5-e40f-4a90-9b30-aa99039da489,Books,List,2.51,4,1,Superb quality and great design.,Good,0.67
feb3667c-0873-4dbb-97d7-bd01084acec1,Home & Garden,List,4.91,2,1,Low quality materials. Avoid this.,Poor,-0.66
8a1ef363-35ab-4362-b9d9-33f6635712de,Toys,Detailed,3.67,4,1,Love it! Exactly what I was looking for.,Excellent,0.69
9e09f2ce-18b4-4920-93e6-70688ccd5779,Electronics,List,2.76,5,1,Very happy with this purchase.,Fair,0.67
72c66a78-b0d7-4bc4-99bf-4cf8c3dd2881,Books,Grid,3.75,4,1,Excellent quality and fast shipping.,Excellent,0.94
f7a1310e-3f7d-47d7-a75b-9a32d168a04b,Home & Garden,Card,3.3,4,1,Superb quality and great design.,Excellent,0.82
a97be7d0-bed7-47f4-868a-979a7e9bfa4d,Home & Garden,Detailed,4.43,1,0,Not as described. Very disappointed.,Poor,-0.63
a64599c7-69ff-4120-a73e-f8cf9da69262,Toys,Grid,2.45,1,0,Poor quality. Not worth the money.,Good,-0.54
d33af1fb-ba4a-4101-8d17-676c5d35fba6,Toys,Card,4.57,1,1,Waste of money. Returning it.,Poor,-0.81
acec4fe8-e59a-4dfd-9c4f-dc91dae28e11,Clothing,List,2.89,5,1,Love it! Exactly what I was looking for.,Fair,0.84
b84c3957-dacf-4aba-8a4e-981cd757660e,Books,List,2.74,5,1,Perfect! Exceeded my expectations.,Good,0.57
602171a6-ff94-4646-9005-e4c6161f38be,Toys,Grid,4.55,4,1,Love it! Exactly what I was looking for.,Excellent,0.95
cf3aca0a-2833-4147-94e5-064d0aac90ea,Home & Garden,Card,3.38,4,1,Perfect! Exceeded my expectations.,Good,0.85
b2bfa7dd-0d46-4848-a6e1-fab4542176c1,Books,Detailed,0.98,4,1,Perfect! Exceeded my expectations.,Good,0.79
f3784bb7-3a88-412f-9a6e-bf03be909d57,Toys,Detailed,1.74,5,1,Great product! Highly recommend it.,Excellent,0.93
c48db148-84c6-4094-ab67-42a69dc95afe,Toys,Detailed,4.25,3,1,Fair quality. Could be better.,Fair,0.17
3cb5da8a-5b92-43eb-87c6-87d8a4743f9f,Clothing,Card,3.55,2,1,Disappointed with this purchase.,Excellent,-0.62
e8b7930f-a41f-4b5f-9ee1-aef633c0784c,Books,Grid,3.11,2,1,Low quality materials. Avoid this.,Poor,-0.95
727a2df2-8c74-4168-845a-e37e5328e0e5,Clothing,Card,2.89,3,0,It's alright. Does the job.,Fair,0.2
ed21f88d-c5f8-4d64-80da-79aa20abd4f1,Home & Garden,Card,4.12,4,0,Amazing value for money. Very satisfied.,Fair,0.98
d3827a91-bd3b-4eca-be67-facd7a070fc3,Toys,Detailed,4.85,5,1,Great product! Highly recommend it.,Excellent,0.68
87bae44e-d76e-47e3-ae7b-54f39c849b41,Electronics,Detailed,2.16,3,1,Fair quality. Could be better.,Excellent,0.05
e443b6ed-d69b-4a66-87a5-152d3cd88205,Clothing,Detailed,0.61,5,1,Excellent quality and fast shipping.,Excellent,0.66
f3f33a92-4690-45bd-bd91-2dda054dc63a,Books,Card,3.42,1,0,Not as described. Very disappointed.,Excellent,-0.92
83d4752d-147e-4f0a-8a9e-f48c70eb7594,Electronics,Grid,1.56,5,1,Superb quality and great design.,Good,0.57
3cfd273c-f554-4f5e-ab07-a2aac661c063,Toys,List,4.48,1,1,Not as described. Very disappointed.,Fair,-0.5
8eff7274-4436-498e-bde0-4ca536def0a5,Home & Garden,List,2.5,2,0,Waste of money. Returning it.,Poor,-0.49
67cadb4c-d431-4986-bce0-740d9d72848a,Toys,Card,0.77,3,1,It's alright. Does the job.,Fair,-0.19
57e13ffa-00ae-4307-8093-672e6280c0ba,Clothing,Grid,0.73,3,1,Satisfactory. Nothing to write home about.,Fair,-0.15
9af6f4cd-e3a7-467a-af41-617ab0d816ce,Sports,List,3.14,2,1,Defective product. Very frustrating.,Poor,-0.8
cd675e32-f7ad-4855-8d94-834b9eda5a89,Clothing,List,2.93,2,1,Terrible product. Would not recommend.,Good,-0.93
8213196f-2f07-437a-937e-d0e39b594fb0,Clothing,Card,0.57,3,1,Reasonable product for the cost.,Good,-0.27
5fe266bf-9976-4256-8920-29a68e5aa035,Electronics,Detailed,2.52,3,1,Reasonable product for the cost.,Fair,0.01
6896e3ea-62f7-4fed-ae3b-73b6f307e29c,Sports,Grid,3.77,5,1,Great product! Highly recommend it.,Excellent,0.65
b4f77cf5-e446-45ef-80a4-5857ad8577d2,Books,Detailed,2.42,1,0,Poor quality. Not worth the money.,Excellent,-0.71
7e6c13e2-7f6d-4f1d-838c-da2b32dedd83,Home & Garden,List,0.8,3,1,Fair quality. Could be better.,Good,0.07
3e3781a3-698d-47bd-8042-6303f35e6fc0,Sports,Card,2.54,5,1,Excellent quality and fast shipping.,Excellent,0.72
bdb192a8-e8a8-4cdc-b183-286a2ccbacda,Toys,List,2.44,2,1,Low quality materials. Avoid this.,Good,-0.75
1565fb83-d89b-4981-af0a-4c8cb6751bfe,Electronics,Card,2.42,3,1,It's alright. Does the job.,Fair,-0.08
24359b85-9c28-4386-b28a-1cd2faae804e,Electronics,Grid,2.44,3,0,Satisfactory. Nothing to write home about.,Good,0.19
b009aa3e-211b-45b7-82a6-12a7f7519ff6,Sports,Card,3.52,4,0,Fantastic! Works perfectly as described.,Excellent,0.68
f053c85a-f002-4406-8ada-54f100ce572d,Toys,Grid,4.86,5,1,Superb quality and great design.,Fair,0.66
200a9044-78eb-4406-9d60-87ca221cb614,Toys,Detailed,1.51,1,0,Poor quality. Not worth the money.,Fair,-0.79
7dc484d8-4e43-4443-b14e-ea6f212608e8,Sports,List,4.13,5,1,Absolutely love it! Five stars!,Excellent,0.99
8bb158a4-85e4-4ddc-8bef-16cb402bddab,Sports,Grid,3.24,3,0,Acceptable product. Met basic expectations.,Fair,-0.28
46e5d3e0-3e1b-44cf-894f-00ca78b89560,Home & Garden,Grid,1.32,2,0,Terrible product. Would not recommend.,Fair,-0.66
5f799b8e-49de-4e06-8d8c-f914cde3e931,Electronics,Grid,3.86,2,1,Terrible product. Would not recommend.,Fair,-0.77
a38f2a01-8c13-45de-92e1-55b812778b75,Toys,Card,4.0,5,1,Love it! Exactly what I was looking for.,Excellent,0.8
669f5b3a-e9ed-4b47-9901-5bbdf79b3085,Sports,Grid,3.53,3,1,Satisfactory. Nothing to write home about.,Good,-0.03
b6d52da0-255e-4b49-ac06-b7505bc8a3ea,Home & Garden,List,3.9,1,0,Defective product. Very frustrating.,Poor,-0.79
33722a93-b962-4811-a318-e47547548de8,Toys,Card,0.7,4,1,Amazing value for money. Very satisfied.,Fair,0.99
12dfed35-f6a7-4a4a-83b4-e01a00755ab2,Clothing,List,3.94,3,1,"Not bad, not great. Just average.",Poor,-0.1
302ff662-ca43-4ec2-a0d9-a3a0def3282e,Books,List,2.75,3,1,It's okay. Does what it's supposed to do.,Excellent,-0.26
584bd2f8-5f69-4361-a86c-1f4701ec71fd,Books,Grid,4.38,5,1,Fantastic! Works perfectly as described.,Good,0.71
50d2bba5-4547-4b9c-a81d-dbaca9770a9b,Books,Grid,4.85,2,1,Waste of money. Returning it.,Fair,-0.52
25f83d12-15c4-4895-a73d-9887d2041181,Electronics,List,2.46,4,1,Perfect! Exceeded my expectations.,Good,0.76
a8a5ba71-0a30-4350-b324-1c3a515a067a,Clothing,Card,4.01,1,1,Horrible experience. Don't buy this.,Poor,-0.69
fc629ce8-a8c3-4886-aee4-34aae82c49f1,Home & Garden,Card,3.77,2,1,Broke after a few uses. Very upset.,Poor,-0.86
c5d407b5-5dc1-4c6b-bd3e-5628be4ecdc8,Clothing,Grid,1.3,4,1,Absolutely love it! Five stars!,Good,0.73
735dbd81-2f78-46d7-b38b-0a189ecdfdb7,Sports,Card,4.39,3,0,It's alright. Does the job.,Poor,-0.21
84c13d4d-a025-400c-a9b0-4647315a508d,Home & Garden,Grid,2.08,1,1,Disappointed with this purchase.,Fair,-0.81
f0e00023-c322-4be4-9f36-5291f8a8f7e5,Home & Garden,Grid,3.4,1,0,Did not meet expectations at all.,Fair,-0.63
cceafdaa-9346-461d-b3fa-ef0c51bab263,Toys,Grid,2.52,5,1,Very happy with this purchase.,Good,0.83
4181a239-d39a-4d5b-a6d9-2d368534de87,Electronics,Detailed,0.97,3,1,Decent quality for the price.,Poor,0.29
d8f35b32-ac50-4f4a-a145-652f91629e6f,Toys,Detailed,4.96,5,0,Outstanding product. Will buy again.,Fair,0.76
9d3e5f94-9518-4e75-bb37-437496e51c86,Books,Detailed,3.99,5,1,Outstanding product. Will buy again.,Excellent,0.53
2c526678-2fb1-4d60-bc9e-b962f6eb114c,Electronics,Detailed,1.78,5,1,Absolutely love it! Five stars!,Good,0.94
0719e6e6-809e-49c7-8f56-33a44dbbd226,Home & Garden,Card,4.85,4,1,Excellent quality and fast shipping.,Excellent,0.56
a08d6924-4e69-410f-86ab-e6505fc591be,Books,Card,4.16,5,1,Superb quality and great design.,Excellent,0.55
ef11efe5-76a9-46d9-abc7-2e1d0ddd9232,Home & Garden,Card,1.31,2,1,Broke after a few uses. Very upset.,Good,-0.79
4fbfc467-914c-473d-b511-2a4ab715ce61,Clothing,List,0.85,1,1,Horrible experience. Don't buy this.,Fair,-0.7
61795acc-af5f-4920-9922-8e4c67b17b2a,Home & Garden,List,3.19,2,0,Defective product. Very frustrating.,Good,-0.9
5e109344-a285-4361-8a4a-97e0367d9901,Clothing,Detailed,0.7,3,1,It's alright. Does the job.,Fair,0.11
68217e62-b85e-44d2-b8ef-e54ccbc3a0e5,Toys,Detailed,1.55,2,0,Did not meet expectations at all.,Good,-0.81
0686292a-f91f-4681-b242-767002503cf7,Clothing,Card,3.55,5,1,Perfect! Exceeded my expectations.,Good,0.99
764b13a2-e622-4447-a736-45017b7e2b37,Sports,Detailed,4.85,2,1,Not as described. Very disappointed.,Poor,-0.52
e1b135d1-4a51-45b9-9cbd-ce9dece05ec3,Books,Card,3.0,1,1,Poor quality. Not worth the money.,Fair,-0.57
c64f78fd-0c0c-4d35-94c5-b2c7bc14c9db,Clothing,Card,2.52,5,1,Amazing value for money. Very satisfied.,Good,0.57
6dbdf54b-ecff-4e42-94aa-31b47e6cc86c,Home & Garden,Grid,2.37,4,1,Excellent quality and fast shipping.,Good,0.75
8fd5bd7a-d0de-43e1-8c3c-02a0b83cb0be,Electronics,Card,4.69,3,0,Acceptable product. Met basic expectations.,Fair,0.17
fb7b460d-bc7b-4e77-9dff-d6bd9d4e4c4b,Books,List,3.91,4,1,Excellent quality and fast shipping.,Poor,0.72
40c3c0d2-f0c3-4402-8688-d10f47a380b6,Clothing,List,2.97,5,1,Perfect! Exceeded my expectations.,Fair,0.76
1b22a966-f9aa-470a-9590-282a454b3eb3,Electronics,Grid,1.57,5,1,Very happy with this purchase.,Fair,0.73
d4f9770e-6c7a-445a-9cae-e5f6574744c7,Electronics,List,3.73,3,1,It works fine. No complaints.,Good,-0.04
63de4a6a-a681-4ae8-9608-a6fb0c20a803,Clothing,Grid,2.86,3,0,Reasonable product for the cost.,Good,-0.26
f1d9acb2-fe46-4b33-ba43-fb9efaeb6188,Sports,Grid,2.26,4,1,Outstanding product. Will buy again.,Good,0.52
35530575-4bdd-42e1-83d1-14718cb23dad,Electronics,Card,4.05,3,0,Average product. Nothing special.,Good,-0.16
142c3d19-0cab-4416-855e-4b386fefe18d,Toys,Card,1.1,3,0,Decent quality for the price.,Excellent,0.03
960f8fec-d8f4-42bb-8668-24a8a46e661a,Toys,Detailed,4.91,4,1,Excellent quality and fast shipping.,Excellent,0.82
e3978835-a91c-42f7-8b8a-691631993cf5,Books,Grid,1.82,1,0,Waste of money. Returning it.,Good,-0.53
17d28cec-8bf6-4190-bfd6-bc1d844a97bf,Sports,Detailed,4.95,5,1,Amazing value for money. Very satisfied.,Poor,0.74
f3c16b33-996f-4183-8051-870be08418e3,Electronics,Card,1.73,3,0,It's alright. Does the job.,Good,-0.04
5dd1fbb5-ba88-4394-af57-161a0448efe7,Books,Card,4.88,4,1,Superb quality and great design.,Good,0.85
0d82c94b-9462-47fb-9a26-47e7d192c48e,Electronics,Detailed,0.86,5,1,Perfect! Exceeded my expectations.,Fair,1.0
d1444715-aa2f-48e6-9afb-4a249d20243b,Electronics,Card,3.47,3,0,Decent quality for the price.,Good,-0.03
b796f0f1-5d0f-4081-b553-bbcf3115902a,Home & Garden,Detailed,0.69,3,1,It's okay. Does what it's supposed to do.,Good,0.07
2fade339-618b-448c-8df7-1e398162dbf6,Toys,Detailed,2.13,2,0,Defective product. Very frustrating.,Poor,-0.43
63522ae8-e446-4d4c-8e9c-63451eb35d29,Books,Grid,1.07,2,0,Low quality materials. Avoid this.,Fair,-0.53
47e2ce18-ea3b-4997-937a-6cce8a9ae981,Electronics,List,3.56,3,1,Satisfactory. Nothing to write home about.,Good,-0.08
672c2a95-d369-4c51-a780-e59172b7ef5d,Home & Garden,Detailed,1.91,3,1,Decent quality for the price.,Fair,-0.15
fe5edaaf-4c24-4784-a2f2-1318e8c11b16,Books,Grid,1.68,3,1,Satisfactory. Nothing to write home about.,Fair,0.12
b716dae5-99f3-4ec7-89a8-39073c8aa5c0,Books,List,1.05,1,0,Did not meet expectations at all.,Good,-0.73
